Манга/Манхва,голоса,Аниме,голоса,Ранобе,голоса,Полнометражное аниме,голоса,Тип
,,,,,,,,
Клинок рассекающий демонов,3,Клинок рассекающий демонов,6,Сказание о демонах и богах,2,Твое имя,8,Название
9 обещанный Неверленд,3,Моя геройская академия,5,Игрок который вернулся спустя,1,Укрась прощальное утро цветами обещания,2,"Для голосование 
добавляйте к рейтингу +1"
Башня бога,2,Бездомный бог,5,Ублюдочный герой FFF ранга,1,Дитя погоды,5,
Ночные этюды,3,Семь смертных грехов,5,Начало после конца,1,Я хочу сьесть твою поджелудочную,2,
Сыр в мышеловке ,2,Город в котором меня нет,5,Чернокнижник в мире магов,1,Принцесса Мононоке,3,
Банк крови,3,Паразит,4,О моем перерождении в слизь,2,5 сантиметров в секунду,2,Рейтинг
Ветролом,1,Атака Титанов,5,Все будет по моему,1,Унесенные призраками,5,
CARL,1,Бродячие псы,3,Игра кота,1,Форма голоса,3,
Bj Alex,1,Наруто,5,Level Up(это мастхэв),,Навсикая из Долины ветров,2,
"Kiss him, not me",1,Госпожа Кагуя,3,Маг поедающий книги,1,Небесный замок Лапута,1,
У Коми сан проблемы с общением,1,Доктор Cтоун,4,Большой круг,,Могила светлячков,,
Mushishi ,1,Hunter x hunter,3,Похоже я доигрался,,Сказ о принцессе Кагуе,,
Моя геройская академия: против закона,1,DxD High School,3,1 Only I level up,,,,
,,Юри на льду,3,Легендарный лунный скульптор,,,,
Плач Сирены,1,Ковбой Бибоп,3,,1,Люпен 3 кровь гаэмона,1,
Как далеко вы зайдете?,1,Tengen Toppa Gurren Lagann,2,,1,perfect blue,1,
Янтарь(sunstone),1,91 days,2,,1,Промар,1,
Начало после конца,1,Ангельские ритмы,2,,1,Ходячий замок,4,
Скала кен,1,Hyouka,2,,1,Мой сосед Тоторо,2,
Магия вернувшегося...,1,Assassination classroom,2,,,Добывайка Ариэтти,2,
Love or hate,1,Your lie in April ,2,,,Шепот сердца,2,
Himizu ,1,Мастера меча онлайн,2,,,"В лес, где мерцают светлячки",1,
Flowers of evil ,1,Баракамон,2,,,Гармония,,
Сказание о демонах и богах,1,Akame ga kill!,2,,,,,
Only I level up,1,Given,2,,,,,
Моя геройская академия,1,Haikyuu!!!,2,,,,,
ублюдок,1,Баскетбол Куроко,3,,,,,
академия алис,1,Vinland Saga,2,,,,,
Где касательные встречаются,,Tokyo Ghoul,2,,,,,
История молодой невесты ,,NG Evangelion,2,,,,,
Проклятье Хару,,Обещанный неверленд,2,,,,,
Танец Субару,,Samurai Champloo,1,,,,,
Дневной звездопад,,,1,,,,,
Их история,,Devilman Crybaby,1,,,,,
19 дней однажды,,Sora Yori mo Tooi Basho,1,,,,,
Лукизм ,,Great Teacher Onizuka,1,,,,,
Она - парень-ягодка,,Erased,2,,,,,
Отношения между нами,,Ouran High School Host Club,1,,,,,
Особняк НЕсчастья,,Clannad: After Story,1,,,,,
Поток,,Nichijou,1,,,,,
Шальные девочки,,Violet Evergarden,1,,,,,
В поисках Клото,,Black clover,1,,,,,
Маги: лабиринт волшебства,,Relife,1,,,,,
Пока смерть не разлучит вас,,Future diary,1,,,,,
Список Нано,,Psycho pass,1,,,,,
Темный рай ,,Академия вооруженных девушек,1,,,,,
Трейс,,Гремгал пепла и илюзии,1,,,,,
Я люблю Ю,,Легенда о легендарных героях,1,,,,,
Свободный выбор ЛОЛ,,Сказания о рыцаре неудачнике,1,,,,,
Gourmet hound про еду,,Хроники акаши,1,,,,,
Дворянство,,Anohana,1,,,,,
AVA's demon ТОП рисовка,,Death note,2,,,,,
I see your money,,Fullmetal alchemist,1,,,,,
THAT awkward magic,,Oregairu,1,,,,,
Let's play ТОП ,,Сезон беспокойных девиц,1,,,,,
My giant nerd boyfriend,,Code Geass,1,,,,,
Пока смерть не разлучит нас,,The rascal doesn't dream of bunny girl senpai ,1,,,,,
BLUE CHAIR,,Lucky star,1,,,,,
Adventurs of GOD,,Kill la Kill,1,,,,,
,,Re:Zero,1,,,,,
,,Восхождение героя щита,1,,,,,
,,Overlord,1,,,,,
,,Evangelion Rebuild,1,,,,,
,,Мы не можем учиться,1,,,,,
,,Дороро,1,,,,,
,,Youko senki,1,,,,,
,,Golden boy,1,,,,,
,,One-Punch Man,1,,,,,
,,Кошечка из Сакурасо,1,,,,,
,,No Game No Life,1,,,,,
,,Невероятные приключения ДжоДжо,1,,,,,
,,Необъятный океан,1,,,,,
,,Дюрарара!!,1,,,,,
,,Магистр дьявольского культа ,1,,,,,
,,Моб Психо 100,2,,,,,
,,Кошечка из Сакурасо,1,,,,,
,,Gintama,1,,,,,
,,Uta No Prince Sama ,1,,,,,
,,Союз Серокрылых,,,,,,
